rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
172,2:59.33,,Great Britain & NI,,GBR,1h2,"National Stadium, Beijing (CHN)",22 AUG 2008,1208,4x400-metres-relay,relays,male,senior
172,2:59.33,,Belgium,,BEL,3f1,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1208,4x400-metres-relay,relays,male,senior
174,2:59.34,,Jamaica,,JAM,2,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1207,4x400-metres-relay,relays,male,senior
174,2:59.34,,Jamaica,,JAM,4,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1207,4x400-metres-relay,relays,male,senior
176,2:59.35,,Botswana,,BOT,3h1,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1207,4x400-metres-relay,relays,male,senior
176,2:59.35,,Trinidad and Tobago,,TTO,2h2,"Olympic Stadium, London (GBR)",12 AUG 2017,1207,4x400-metres-relay,relays,male,senior
176,2:59.35,,Great Britain & NI,,GBR,1,"Olympiastadion, München (GER)",20 AUG 2022,1207,4x400-metres-relay,relays,male,senior
179,2:59.37,,Belgium,,BEL,4,"National Stadium, Beijing (CHN)",23 AUG 2008,1207,4x400-metres-relay,relays,male,senior
179,2:59.37,,Belgium,,BEL,3h2,"National Stadium, Tokyo (JPN)",06 AUG 2021,1207,4x400-metres-relay,relays,male,senior
181,2:59.40,,Trinidad and Tobago,,TTO,3,"Olympic Stadium, London (GBR)",10 AUG 2012,1207,4x400-metres-relay,relays,male,senior
182,2:59.42,,United States,,USA,1,"Seattle, WA (USA)",26 JUL 1990,1206,4x400-metres-relay,relays,male,senior
182,2:59.42,,United States,,USA,1,St. Petersburg (RUS),29 JUL 1994,1206,4x400-metres-relay,relays,male,senior
182,2:59.42,,Jamaica,,JAM,3,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1206,4x400-metres-relay,relays,male,senior
182,2:59.42,,France,,FRA,3h1,"National Stadium, Beijing (CHN)",29 AUG 2015,1206,4x400-metres-relay,relays,male,senior
182,2:59.42,,Great Britain & NI,,GBR,3h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1206,4x400-metres-relay,relays,male,senior
182,2:59.42,,Botswana,,BOT,4h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1206,4x400-metres-relay,relays,male,senior
188,2:59.43,,Cuba,,CUB,1,Guadalajara (MEX),28 OCT 2011,1206,4x400-metres-relay,relays,male,senior
189,2:59.44,,Florida,,USA,1f2,"Ole Miss T&F Complex, Oxford, MS (USA)",14 MAY 2022,1206,4x400-metres-relay,relays,male,senior
190,2:59.45,,Russia,,RUS,4h1,"National Stadium, Beijing (CHN)",29 AUG 2015,1206,4x400-metres-relay,relays,male,senior
191,2:59.46,,Great Britain & NI,,GBR,1,"Olympiastadion, München (GER)",22 JUN 1997,1206,4x400-metres-relay,relays,male,senior
