rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
145,1:54.56,,Spain U18,,ESP,6f1,Debrecen (HUN),2001-07-15,,medley-relay,relays,male,u18,medley-relay,track,114.56,HUN,,2001
147,1:54.59,,Chinese Taipei U18,,TPE,6f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,male,u18,medley-relay,track,114.59,MAR,,2005
148,1:54.60,,Greece U18,,GRE,7f1,Debrecen (HUN),2001-07-15,,medley-relay,relays,male,u18,medley-relay,track,114.6,HUN,,2001
148,1:54.60,,Russia U18,,RUS,1h4,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,114.6,MAR,,2005
150,1:54.61,,Spain U18,,ESP,6f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,male,u18,medley-relay,track,114.61,CZE,,2007
151,1:54.64,,Puerto Rico U18,,PUR,3h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,male,u18,medley-relay,track,114.64,UKR,,2013
152,1:54.68,,Brazil U18,,BRA,2h1,Lille (FRA),2011-07-09,,medley-relay,relays,male,u18,medley-relay,track,114.68,FRA,,2011
152,1:54.68,,Spain U18,,ESP,3,Baku (AZE),2019-07-27,,medley-relay,relays,male,u18,medley-relay,track,114.68,AZE,,2019
152,1:54.68,,Sri Lanka U18,,SRI,1h2,"Prince Nayef Sports City, Qatif (KSA)",2025-04-17,,medley-relay,relays,male,u18,medley-relay,track,114.68,KSA,,2025
155,1:54.71,,Czech Republic U18,,CZE,1,Miskolc (HUN),2017-06-16,,medley-relay,relays,male,u18,medley-relay,track,114.71000000000001,HUN,,2017
156,1:54.75,,United States U18,,USA,2h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,male,u18,medley-relay,track,114.75,CAN,,2003
156,1:54.75,,Ukraine U18,,UKR,1h3,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,male,u18,medley-relay,track,114.75,SVK,,2024
158,1:54.77,,Romania U18,,ROU,4,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,male,u18,medley-relay,track,114.77000000000001,SLO,,2023
159,1:54.78,,Slovak Republic U18,,SVK,3h1,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,male,u18,medley-relay,track,114.78,MKD,,2025
160,1:54.79,,Ukraine U18,,UKR,1h1,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,male,u18,medley-relay,track,114.78999999999999,GEO,,2016
161,1:54.81,,Italy U18,,ITA,4,Baku (AZE),2019-07-27,,medley-relay,relays,male,u18,medley-relay,track,114.81,AZE,,2019
