rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
134,42.03,,Team International,,INT,1f2,"Hilmer Lodge Stadium, Walnut, CA (USA)",2024-04-20,1220,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.03,USA,,2024
140,42.04,,France,,FRA,1h3,"Stade de France, Paris-St-Denis (FRA)",2003-08-29,1219,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.04,FRA,,2003
140,42.04,,Netherlands,,NED,1,"Olympisch Stadion, Amsterdam (NED)",2016-07-10,1219,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.04,NED,,2016
140,42.04,,Ukraine,,UKR,3,"Olympic Stadium, London (GBR)",2012-08-10,1219,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.04,GBR,,2012
143,42.05,,Switzerland,,SUI,2h2,"National Stadium, Tokyo (JPN)",2021-08-05,1219,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.05,JPN,,2021
143,42.05,,Louisiana State,,USA,1f2,"Knoxville, TN (USA)",2018-05-13,1219,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.05,USA,,2018
145,42.06,,France,,FRA,2,"La Cartuja, Sevilla (ESP)",1999-08-29,1218,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.06,ESP,,1999
145,42.06,,Jamaica,,JAM,1,"Olympiastadion, Berlin (GER)",2009-08-22,1218,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.06,GER,,2009
145,42.06,,United States,,USA,1,"New York, NY (USA)",1998-07-22,1218,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.06,USA,,1998
148,42.07,,Great Britain & NI,,GBR,4,"National Stadium, Tokyo (JPN)",2025-09-21,1218,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.07,JPN,,2025
149,42.08,,Switzerland,,SUI,4,"National Stadium, Tokyo (JPN)",2021-08-06,1217,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.08,JPN,,2021
149,42.08,,United States Blue,,USA,2,"Olympiastadion, Berlin (GER)",1987-08-21,1217,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.08,GER,,1987
